date,level,PRELIQ_Q,T_Q,ETP_Q
1966-09-27,94.42,0.0,15.3,1.3
1966-09-28,94.43,17.6,16.3,0.7
1966-09-29,94.43,17.6,16.3,0.7
1966-09-30,94.43,17.6,16.3,0.7
1966-10-01,94.43,17.6,16.3,0.7
1966-10-02,94.43,17.6,16.3,0.7
1966-10-03,94.43,17.6,16.3,0.7
1966-10-04,94.43,17.6,16.3,0.7
1966-10-05,94.44,0.0,11.9,1.2
1966-10-06,94.44,0.0,11.9,1.2
1966-10-07,94.44,0.0,11.9,1.2
1966-10-08,94.44,0.0,11.9,1.2
1966-10-09,94.44,0.0,11.9,1.2
1966-10-10,94.44,0.0,11.9,1.2
1966-10-11,94.44,0.0,11.9,1.2
1966-10-12,94.45,1.3,11.7,1.3
1966-10-13,94.45,1.3,11.7,1.3
1966-10-14,94.45,1.3,11.7,1.3
1966-10-15,94.45,1.3,11.7,1.3
1966-10-16,94.45,1.3,11.7,1.3
1966-10-17,94.45,1.3,11.7,1.3
1966-10-18,94.45,1.3,11.7,1.3
1966-10-19,94.46,26.6,9.5,0.3
1966-10-20,94.46,26.6,9.5,0.3
1966-10-21,94.46,26.6,9.5,0.3
1966-10-22,94.46,26.6,9.5,0.3
1966-10-23,94.46,26.6,9.5,0.3
1966-10-24,94.46,26.6,9.5,0.3
1966-10-25,94.46,26.6,9.5,0.3
1966-10-26,94.47,7.5,4.4,0.3
1966-10-27,94.47,7.5,4.4,0.3
1966-10-28,94.47,7.5,4.4,0.3
1966-10-29,94.47,7.5,4.4,0.3
1966-10-30,94.47,7.5,4.4,0.3
1966-10-31,94.47,7.5,4.4,0.3
1966-11-01,94.47,7.5,4.4,0.3
1966-11-02,94.48,17.0,11.9,0.8
1966-11-03,94.48,17.0,11.9,0.8
1966-11-04,94.48,17.0,11.9,0.8
1966-11-05,94.48,17.0,11.9,0.8
1966-11-06,94.48,17.0,11.9,0.8
1966-11-07,94.48,17.0,11.9,0.8
1966-11-08,94.48,17.0,11.9,0.8
1966-11-09,94.49,2.8,6.8,0.4
1966-11-10,94.49,2.8,6.8,0.4
1966-11-11,94.49,2.8,6.8,0.4
1966-11-12,94.49,2.8,6.8,0.4
1966-11-13,94.49,2.8,6.8,0.4
1966-11-14,94.49,2.8,6.8,0.4
1966-11-15,94.49,2.8,6.8,0.4
1966-11-16,94.5,2.3,3.0,0.3
1966-11-17,94.5,2.3,3.0,0.3
1966-11-18,94.5,2.3,3.0,0.3
1966-11-19,94.5,2.3,3.0,0.3
1966-11-20,94.5,2.3,3.0,0.3
1966-11-21,94.5,2.3,3.0,0.3
1966-11-22,94.5,2.3,3.0,0.3
1966-11-23,94.5,0.0,2.8,0.6
1966-11-24,94.5,0.0,2.8,0.6
1966-11-25,94.5,0.0,2.8,0.6
1966-11-26,94.5,0.0,2.8,0.6
1966-11-27,94.5,0.0,2.8,0.6
1966-11-28,94.5,0.0,2.8,0.6
1966-11-29,94.5,0.0,2.8,0.6
1966-11-30,94.51,13.2,2.3,0.2
1966-12-01,94.51,13.2,2.3,0.2
1966-12-02,94.51,13.2,2.3,0.2
1966-12-03,94.51,13.2,2.3,0.2
1966-12-04,94.51,13.2,2.3,0.2
1966-12-05,94.51,13.2,2.3,0.2
1966-12-06,94.51,13.2,2.3,0.2
1966-12-07,94.52,1.4,4.8,0.8
1966-12-08,94.52,1.4,4.8,0.8
1966-12-09,94.52,1.4,4.8,0.8
1966-12-10,94.52,1.4,4.8,0.8
1966-12-11,94.52,1.4,4.8,0.8
1966-12-12,94.52,1.4,4.8,0.8
1966-12-13,94.52,1.4,4.8,0.8
1966-12-14,94.53,0.0,7.5,0.7
1966-12-15,94.53,0.0,7.5,0.7
1966-12-16,94.53,0.0,7.5,0.7
1966-12-17,94.53,0.0,7.5,0.7
1966-12-18,94.53,0.0,7.5,0.7
1966-12-19,94.53,0.0,7.5,0.7
1966-12-20,94.53,0.0,7.5,0.7
1966-12-21,94.54,3.1,3.5,0.0
1966-12-22,94.54,3.1,3.5,0.0
1966-12-23,94.54,3.1,3.5,0.0
1966-12-24,94.54,3.1,3.5,0.0
1966-12-25,94.54,3.1,3.5,0.0
1966-12-26,94.54,3.1,3.5,0.0
1966-12-27,94.54,3.1,3.5,0.0
1966-12-28,94.55,0.0,-1.2,0.2
1966-12-29,94.55,0.0,-1.2,0.2
1966-12-30,94.55,0.0,-1.2,0.2
1966-12-31,94.55,0.0,-1.2,0.2
1967-01-01,94.55,0.0,-1.2,0.2
1967-01-02,94.55,0.0,-1.2,0.2
1967-01-03,94.55,0.0,-1.2,0.2
1967-01-04,94.56,0.0,-4.8,0.3
1967-01-05,94.56,0.0,-4.8,0.3
1967-01-06,94.56,0.0,-4.8,0.3
1967-01-07,94.56,0.0,-4.8,0.3
1967-01-08,94.56,0.0,-4.8,0.3
1967-01-09,94.56,0.0,-4.8,0.3
1967-01-10,94.56,0.0,-4.8,0.3
1967-01-11,94.57,0.0,-0.1,0.4
1967-01-12,94.57,0.0,-0.1,0.4
1967-01-13,94.57,0.0,-0.1,0.4
1967-01-14,94.57,0.0,-0.1,0.4
1967-01-15,94.57,0.0,-0.1,0.4
1967-01-16,94.57,0.0,-0.1,0.4
1967-01-17,94.57,0.0,-0.1,0.4
1967-01-18,94.58,1.5,6.6,0.6
1967-01-19,94.58,1.5,6.6,0.6
1967-01-20,94.58,1.5,6.6,0.6
1967-01-21,94.58,1.5,6.6,0.6
1967-01-22,94.58,1.5,6.6,0.6
1967-01-23,94.58,1.5,6.6,0.6
1967-01-24,94.58,1.5,6.6,0.6
1967-01-25,94.59,0.0,7.2,0.8
1967-01-26,94.59,0.0,7.2,0.8
1967-01-27,94.59,0.0,7.2,0.8
1967-01-28,94.59,0.0,7.2,0.8
1967-01-29,94.59,0.0,7.2,0.8
1967-01-30,94.59,0.0,7.2,0.8
1967-01-31,94.59,0.0,7.2,0.8
1967-02-01,94.6,0.0,2.4,0.8
1967-02-02,94.6,0.0,2.4,0.8
1967-02-03,94.6,0.0,2.4,0.8
1967-02-04,94.6,0.0,2.4,0.8
1967-02-05,94.6,0.0,2.4,0.8
1967-02-06,94.6,0.0,2.4,0.8
1967-02-07,94.6,0.0,2.4,0.8
1967-02-08,94.61,0.5,-0.1,0.3
