date,level,PRELIQ_Q,T_Q,ETP_Q
1997-01-28,232.93,0.0,3.5999999046325684,0.800000011920929
1997-01-29,232.93,0.0,6.599999904632568,1.0
1997-01-30,232.91,0.2000000029802322,7.199999809265137,1.399999976158142
1997-01-31,232.94,0.0,6.900000095367432,1.100000023841858
1997-02-01,232.94,0.1000000014901161,9.600000381469728,0.699999988079071
1997-02-02,232.97,5.699999809265137,9.0,1.0
1997-02-03,232.99,3.0999999046325684,7.400000095367432,0.800000011920929
1997-02-04,232.98,0.1000000014901161,5.5,0.8999999761581421
1997-02-05,232.98,1.2000000476837158,8.199999809265137,0.800000011920929
1997-02-06,232.94,0.0,9.100000381469728,2.0999999046325684
1997-02-07,232.95,0.0,8.199999809265137,2.5
1997-02-08,232.93,0.0,7.699999809265137,1.899999976158142
1997-02-09,232.96,0.0,6.0,1.5
1997-02-10,232.98,0.2000000029802322,5.900000095367432,1.2000000476837158
1997-02-11,232.97,1.600000023841858,10.5,0.8999999761581421
1997-02-12,232.99,0.0,12.199999809265137,1.2999999523162842
1997-02-13,233.04,1.5,11.0,1.899999976158142
1997-02-14,233.1,10.300000190734863,12.399999618530272,1.2999999523162842
1997-02-15,233.16,3.799999952316284,7.300000190734863,1.2000000476837158
1997-02-16,233.11,0.1000000014901161,7.5,2.0
1997-02-17,233.06,0.0,9.899999618530272,1.7999999523162842
1997-02-18,233.05,0.0,10.800000190734863,1.7999999523162842
1997-02-19,233.01,0.0,10.300000190734863,1.899999976158142
1997-02-20,233.02,0.0,11.699999809265137,1.7000000476837158
1997-02-21,233.03,0.0,11.100000381469728,2.400000095367432
1997-02-22,233.07,0.0,9.0,1.899999976158142
1997-02-23,233.13,0.2000000029802322,10.300000190734863,1.2999999523162842
1997-02-24,233.16,0.0,10.600000381469728,1.100000023841858
1997-02-25,233.14,0.0,11.199999809265137,1.2999999523162842
1997-02-26,233.09,0.699999988079071,12.100000381469728,1.899999976158142
1997-02-27,232.99,0.0,9.399999618530272,2.700000047683716
1997-02-28,233.04,0.0,8.699999809265137,3.200000047683716
1997-03-01,233.06,0.0,9.600000381469728,1.899999976158142
1997-03-02,233.08,0.0,11.899999618530272,2.200000047683716
1997-03-03,233.03,0.0,14.300000190734863,2.700000047683716
1997-03-04,233.06,0.0,14.100000381469728,2.799999952316284
1997-03-05,233.05,0.0,12.0,2.5
1997-03-06,233.06,0.0,12.699999809265137,3.0
1997-03-07,233.09,0.0,11.800000190734863,2.5999999046325684
1997-03-08,233.06,0.0,11.5,2.799999952316284
1997-03-09,233.07,0.0,11.199999809265137,3.5
1997-03-10,233.06,0.0,11.699999809265137,4.300000190734863
1997-03-11,233.09,0.0,12.800000190734863,3.5999999046325684
1997-03-12,233.09,0.0,13.300000190734863,3.5
1997-03-13,233.08,0.0,14.5,4.300000190734863
1997-03-14,233.1,2.200000047683716,10.800000190734863,3.0
1997-03-15,233.1,0.0,12.5,2.900000095367432
1997-03-16,233.11,0.0,14.199999809265137,3.5999999046325684
1997-03-17,233.13,0.0,16.0,4.300000190734863
1997-03-18,233.16,0.0,16.0,4.800000190734863
1997-03-19,233.2,0.1000000014901161,11.5,2.799999952316284
1997-03-20,233.19,0.0,10.300000190734863,3.200000047683716
1997-03-21,233.19,0.0,10.300000190734863,3.299999952316284
1997-03-22,233.18,0.0,11.399999618530272,3.900000095367432
1997-03-23,233.2,0.0,12.300000190734863,3.200000047683716
1997-03-24,233.23,9.100000381469728,10.399999618530272,1.7000000476837158
1997-03-25,233.22,0.4000000059604645,10.100000381469728,1.600000023841858
1997-03-26,233.16,0.0,11.199999809265137,2.900000095367432
1997-03-27,233.14,0.0,13.699999809265137,3.5999999046325684
1997-03-28,233.18,0.1000000014901161,12.899999618530272,3.0
1997-03-29,233.16,0.0,9.5,4.199999809265137
1997-03-30,233.18,0.0,10.0,4.099999904632568
1997-03-31,233.19,0.0,10.800000190734863,3.799999952316284
1997-04-01,233.19,0.0,12.5,3.299999952316284
1997-04-02,233.21,0.0,14.100000381469728,3.799999952316284
1997-04-03,233.2,0.0,15.199999809265137,4.599999904632568
1997-04-04,233.16,0.0,12.600000381469728,3.900000095367432
1997-04-05,233.14,0.0,12.5,4.400000095367432
1997-04-06,233.18,0.0,14.600000381469728,4.900000095367432
1997-04-07,233.21,0.0,13.100000381469728,3.5
1997-04-08,233.18,0.0,12.800000190734863,3.900000095367432
1997-04-09,233.14,0.0,11.699999809265137,3.900000095367432
1997-04-10,233.13,0.0,12.300000190734863,3.799999952316284
1997-04-11,233.15,0.0,15.800000190734863,5.099999904632568
1997-04-12,233.2,0.0,15.0,5.300000190734863
1997-04-13,233.18,0.0,12.899999618530272,5.199999809265137
1997-04-14,233.19,0.0,12.699999809265137,3.799999952316284
1997-04-15,233.19,0.0,15.100000381469728,5.300000190734863
1997-04-16,233.21,0.0,15.699999809265137,5.900000095367432
1997-04-17,233.26,0.0,10.899999618530272,3.900000095367432
1997-04-18,233.25,0.0,10.100000381469728,2.900000095367432
1997-04-19,233.3,2.400000095367432,9.600000381469728,0.699999988079071
1997-04-20,233.31,0.0,11.699999809265137,2.400000095367432
1997-04-21,233.31,0.0,10.300000190734863,5.300000190734863
1997-04-22,233.27,0.0,11.100000381469728,5.5
1997-04-23,233.2,0.0,12.0,4.800000190734863
1997-04-24,233.18,0.0,12.699999809265137,4.599999904632568
1997-04-25,233.18,0.2000000029802322,15.0,3.5
1997-04-26,233.2,8.800000190734863,15.600000381469728,2.299999952316284
1997-04-27,233.2,4.099999904632568,14.0,3.5
