date,level,PRELIQ_Q,T_Q,ETP_Q
1974-10-28,114.16,2.1,5.9,1.4
1974-10-29,114.17,0.5,5.3,0.3
1974-10-30,114.17,0.5,5.3,0.3
1974-10-31,114.17,0.5,5.3,0.3
1974-11-01,114.17,0.5,5.3,0.3
1974-11-02,114.17,0.5,5.3,0.3
1974-11-03,114.17,0.5,5.3,0.3
1974-11-04,114.17,0.5,5.3,0.3
1974-11-05,114.18,0.5,7.8,1.1
1974-11-06,114.18,0.5,7.8,1.1
1974-11-07,114.18,0.5,7.8,1.1
1974-11-08,114.18,0.5,7.8,1.1
1974-11-09,114.18,0.5,7.8,1.1
1974-11-10,114.18,0.5,7.8,1.1
1974-11-11,114.18,0.5,7.8,1.1
1974-11-12,114.19,0.0,7.3,0.7
1974-11-13,114.19,0.0,7.3,0.7
1974-11-14,114.19,0.0,7.3,0.7
1974-11-15,114.19,0.0,7.3,0.7
1974-11-16,114.19,0.0,7.3,0.7
1974-11-17,114.19,0.0,7.3,0.7
1974-11-18,114.19,0.0,7.3,0.7
1974-11-19,114.21,0.5,7.3,1.0
1974-11-20,114.21,0.5,7.3,1.0
1974-11-21,114.21,0.5,7.3,1.0
1974-11-22,114.21,0.5,7.3,1.0
1974-11-23,114.21,0.5,7.3,1.0
1974-11-24,114.21,0.5,7.3,1.0
1974-11-25,114.21,0.5,7.3,1.0
1974-11-26,114.22,2.6,5.0,0.8
1974-11-27,114.22,2.6,5.0,0.8
1974-11-28,114.22,2.6,5.0,0.8
1974-11-29,114.22,2.6,5.0,0.8
1974-11-30,114.22,0.2,9.0,0.5
1974-12-01,114.22,0.2,9.0,0.5
1974-12-02,114.22,0.2,9.0,0.5
1974-12-03,114.22,0.2,9.0,0.5
1974-12-04,114.23,0.0,4.9,0.7
1974-12-05,114.23,0.0,4.9,0.7
1974-12-06,114.23,0.0,4.9,0.7
1974-12-07,114.23,0.0,4.9,0.7
1974-12-08,114.23,0.0,4.9,0.7
1974-12-09,114.23,0.0,4.9,0.7
1974-12-10,114.23,0.0,4.9,0.7
1974-12-11,114.24,0.5,8.4,0.9
